"word","phonetic","meaning_zh","example","tags"
"recommendation",",rɛkəmɛn'deʃən","推荐，介绍；劝告","Academic staff are appointed on the recommendation of a committee.","CET4luan_2"
"reconcile","'rɛkənsaɪl","使和解，使一致；调解","The possibility remains that the two theories may be reconciled.","CET6_1"
"record","(for v.) rɪˈkɔrd; (for n. adj.) ˈrɛkɚd","记录；履历","According to official records, five people were killed last year near that road junction.","CET4luan_2"
"recorder","rɪ'kɔrdɚ","录音机；记录者","Rodney put the recorder on the desk top and pushed the play button.","CET4luan_2"
"recover","rɪ'kʌvɚ","重新获得；挽回","Four paintings stolen from the gallery have been recovered.","CET4luan_2"
"recovery",,"重获；痊愈；恢复","Doctors expect him to make a full recovery.","CET4luan_2"
"recruit","rɪ'krut","招聘","We’re having difficulty recruiting enough qualified staff.","CET6_1"
"recruiter","rɪ'krʊtɚ","招聘者","If that doesn't work, do a Web search on the term ""recruiter"" or ""HR director"" along with the name of your employer of choice.","CET6_1"
"recurrence","rɪ'kɝəns","再次发生","Police are out in force to prevent a recurrence of the violence.","CET6_1"
"recyclable",",ri'saɪkləbl","可回收利用的","recyclable cardboard packaging","CET6_1"
"red","rɛd","红色的","We painted the door bright red .","CET4luan_2"
"redefine",",ridɪ'faɪn","重新定义","Feminists have redefined the role of women.","CET6_1"
"reduce","rɪ'dʊs","减少，减小","The governor announced a new plan to reduce crime.","CET4luan_2"
"reduction","rɪ'dʌkʃən","减少，减小，缩减","strategies for noise reduction","CET4luan_2"
"redundant","rɪ'dʌndənt","过剩的；失业的，被解雇的","Seventy factory workers were made redundant in the resulting cuts.","CET6_1"
"refer","rɪ'fɝ","谈到","In his speech, he referred to a recent trip to Canada.","CET4luan_2"
"reference","'rɛfrəns","参考；提及","Keep their price list on file for future reference (= so that it can be looked at in the future ) ..","CET4luan_2"
"refine","rɪ'faɪn","精炼，提纯","oil refining","CET4luan_2,CET6_1"
"reflect","rɪ'flɛkt","反射；反映；思考","Wear something white – it reflects the heat.","CET4luan_2,CET6_1"
"reflection","rɪ'flɛkʃən","映象；反射；反映","Can you see your reflection in the glass?","CET4luan_2"
"reflective","rɪ'flɛktɪv","深思熟虑的；反映的，反射的","Stick reflective tape on your school bag.","CET6_1"
"reflexion","rɪ'flɛkʃən","映象；反映；反射","Can you see your reflexion in the glass?","CET4luan_2"
"reform","rɪ'fɔrm","改革，改良","plans to radically reform the tax system","CET4luan_2"
"refrain","rɪ'fren","抑制，避免","Although I advise that you refrain from decoding XML documents with ad hoc routines, I have no qualms about writing.","CET6_1"
"refresh","ri'frɛʃ","使清新；恢复精神","A shower will refresh you.","CET4luan_2"
"refreshing","ri'frɛʃɪŋ","新鲜的","It made a refreshing change to talk to someone new.","CET6_1"
"refrigerator","rɪ'frɪdʒəretɚ","冰箱，冷藏库","Take the beef out of the refrigerator to defrost.","CET4luan_2"
"refusal","rɪ'fjuzl","拒绝","Her country suffered through her refusal to accept change.","CET4luan_2"
"refuse","ri'fjʊz","拒绝","She asked him to leave, but he refused.","CET4luan_2"
"regain","rɪ'ɡen","重新获得","The family never quite regained its former influence.","CET6_1"
"regard","rɪ'ɡɑrd","把…看作","He was regarded as the most successful president of modern times.","CET4luan_2"
"regarding","rɪ'ɡɑrdɪŋ","关于","Regarding your recent inquiry, I have enclosed a copy of our new brochure.","CET4luan_2,CET6_1"
"regardless","rɪ'ɡɑrdləs","不顾一切地","Despite her recent surgery she has been carrying on regardless.","CET4luan_2,CET6_1"
"regime","re'ʒim","制度，管理体制","The authorities moved him to the less rigid regime of an open prison.","CET6_1"
"region","'ridʒən","地区，地带；领域","efforts to bring peace to the region","CET4luan_2"
"register","'rɛdʒɪstɚ","登记，注册","Have you signed the hotel register ?","CET4luan_2"
"registration","'rɛdʒɪ'streʃən","注册，登记","Student registration (= for a course of study ) starts the first week in September.","CET6_1"
"regret","rɪ'ɡrɛt","懊悔；抱歉","We regret any inconvenience caused to our customers.","CET4luan_2"
"regular","'rɛgjəlɚ","规则的；整齐的","a carpet with a regular pattern of flowers","CET4luan_2"
"regulate","'rɛɡjulet","管理，控制；调整","strict rules regulating the use of chemicals in food","CET4luan_2"
"regulation","ˌrɛɡjəˈleʃən","规则，规章；管理","There seem to be so many rules and regulations these days.","CET4luan_2,CET6_1"
"reimbursement",",riɪm'bɝsmənt","返还费用",,"CET6_1"
"reinforce",",riɪn'fɔrs","加强；增援，支援","I hope this will reinforce Indonesian determination to deal with this kind of threat.","CET4luan_2,CET6_1"
"reject","rɪ'dʒɛkt","拒绝；驳回；丢掉","Sarah rejected her brother’s offer of help.","CET4luan_2"
"relate","rɪ'let","使联系；叙述","The report seeks to relate the rise in crime to an increase in unemployment.","CET4luan_2"
"relation","rɪ'leʃən","关系，联系；家属","diplomatic/international/foreign relations","CET4luan_2"
"relationship","rɪ'leʃən'ʃɪp","关系；联系","I have quite a good relationship with my parents.","CET4luan_2"
"relative","'rɛlətɪv","有关系的；相对的","facts relative to this issue","CET4luan_2"
"relativity",",rɛlə'tɪvəti","相对性；相对论","Einstein formulated the Theory of Relativity in 1905.","CET4luan_2"
"relax","rɪ'læks","使松弛","The massage relaxed my tense back muscles.","CET4luan_2"
"relay","rɪ'le","接替，转播","The broadcasts were relayed by satellite.","CET6_1"
"release","rɪ'lis","释放；放松；发表","Police arrested several men, who were later released.","CET4luan_2,CET6_1"
"relevant","'rɛləvənt","有关的，贴切的","Relevant documents were presented in court.","CET4luan_2,CET6_1"
"reliability","rɪ,laɪə'bɪləti","可靠性","The incident cast doubt on her motives and reliability.","CET4luan_2"
"reliable","rɪ'laɪəbl","可靠的，可信赖的","Miller was a quiet and reliable man.","CET4luan_2,CET6_1"
"relief","rɪ'lif","减轻；救济；援救","Marijuana can provide pain relief for some cancer patients.","CET4luan_2"
"relieve","rɪ'liv","减轻；解除","Drugs helped to relieve the pain.","CET4luan_2,CET6_1"
"relieved","rɪ'livd","轻松的，缓解的","A relieved smile spread over his face.","CET6_1"
"religion","rɪ'lɪdʒən","宗教信仰；宗教","The U.S. Constitution promises freedom of religion.","CET4luan_2"
"religious","rɪ'lɪdʒəs","宗教的；虔诚的","I don’t share her religious beliefs.","CET4luan_2"
"reluctance","rɪ'lʌktəns","勉强，不情愿","Wells finally agreed, but with reluctance.","CET6_1"
"reluctant","rɪ'lʌktənt","不愿的，勉强的","She gave a reluctant smile.","CET4luan_2"
"rely","rɪ'laɪ","依赖，依靠；信赖","I knew I could rely on David.","CET4luan_2"
"remain","rɪ'men","剩下，余留；保持","The refugees were allowed to remain in the UK.","CET4luan_2"
"remark","rɪ'mɑrk","评论，谈论","to make a remark","CET4luan_2"
"remarkable","rɪ'mɑrkəbl","异常的，非凡的","She has made remarkable progress.","CET4luan_2,CET6_1"
"remedy","'rɛmədi","治疗；补救","The problems in our schools do not have a simple remedy.","CET4luan_2"
"remember","rɪ'mɛmbɚ","记得；想起；记住","Do you remember Rosa Davies?","CET4luan_2"
"remind","rɪ'maɪnd","提醒，使想起","Yes, I’ll be there. Thanks for reminding me.","CET4luan_2"
"remote","rɪ'mot","相隔很远的；冷淡的","a remote border town","CET4luan_2"
"removal","rɪ'muvl","移动；移走；除掉；搬迁","the removal of rubbish","CET4luan_2"
"remove","rɪ'muv","移动，搬开；脱掉","Remove the old wallpaper and fill any holes in the walls.","CET4luan_2,CET6_1"
"render","'rɛndɚ","使得；表示，给予","He was rendered almost speechless by the news.","CET4luan_2,CET6_1"
"renew","rɪ'nʊ","使更新","The window frames need to be renewed.","CET4luan_2"
"renewable","rɪ'nuəbl","可再生的","It’s a six-month lease but it’s renewable.","CET6_1"
"rent","rɛnt","租金","I pay the rent at the beginning of every month.","CET4luan_2"
"repair","rɪ'pɛr","修理，修补","Dad was up the ladder, repairing the roof.","CET4luan_2"
"repeat","rɪ'pit","重说，重做","Can you repeat your question?","CET4luan_2"
"repeatedly","rɪ'pitɪdli","重复地；一再","Graham was repeatedly warned not to work so hard.","CET4luan_2"
"repetition","'rɛpə'tɪʃən","重复，反复","Children used to learn by repetition.","CET4luan_2"
"replacement","rɪ'plesmənt","代替","Our old car is badly in need of replacement.","CET6_1"
"reply","rɪ'plai","回答，答复","I asked Clive where he was going, but he didn’t reply.","CET4luan_2"
"report","rɪ'pɔrt","报告；汇报","I’ve asked him to come back next week and report on his progress.","CET4luan_2"
"reporter","rɪ'pɔrtɚ","记者，通讯员","a news reporter","CET4luan_2"
"represent",",rɛprɪ'zɛnt","代表；象征；描绘","Mr Kobayashi was chosen to represent the company at the conference.","CET4luan_2"
"representative","'rɛprɪ'zɛntətɪv","代表性的","The latest incident is representative of a wider trend.","CET4luan_2,CET6_1"
"reproduce",",riprə'dus","繁殖，生殖","The turtles return to the coast to reproduce.","CET4luan_2"
"reproduction",",riprə'dʌkʃən","繁殖","Scientists studied the reproduction, diet, and health of the dolphins.","CET6_1"
"republic","rɪ'pʌblɪk","共和国，共和政体","the former Federal Republic of Germany","CET4luan_2"
"reputation",",rɛpju'teʃən","名誉，名声；好名声","In her last job she gained a reputation as a hard worker.","CET4luan_2"
"request","rɪ'kwɛst","请求，要求","They have made an urgent request for international aid.","CET4luan_2"
"require","rɪ'kwaɪr","需要；要求，命令","Campbell’s broken leg will probably require surgery.","CET4luan_2"
"requirement","rɪ'kwaɪɚmənt","需要；要求","The refugees’ main requirements are food and shelter.","CET4luan_2"
"rescue","'rɛskju","营救，解救，救援","Survivors of the crash were rescued by helicopter.","CET4luan_2"
"resemble","rɪ'zɛmbl","像，类似","It’s amazing how closely Brian and Steve resemble each other.","CET4luan_2"
"reservation",",rɛzɚ'veʃən","预定","a dinner reservation","CET6_1"
"reserve","rɪ'zɝv","预定；储备，保留","I'd like to reserve a table for three for eight o'clock.","CET4luan_2"
"reserved","rɪ'zɝvd","保留意见的；矜持的","He was unemotional, quiet, and reserved.","CET6_1"
"reservoir",,"水库；蓄水池","This reservoir was formed by damming the River Blith.","CET4luan_2"
"residence","'rɛzɪdəns","居住；驻扎；住处","Rome was his main place of residence.","CET4luan_2"
"resident",,"居住的","Many retired British people are now resident in Spain.","CET4luan_2,CET6_1"
"resign","rɪ'zaɪn","放弃","A hospital administrator has resigned over claims he lied to get the job.","CET4luan_2,CET6_1"
"resist","rɪ'zɪst","抵制；抵抗","to resist change","CET4luan_2,CET6_1"
"resistance","rɪ'zɪstəns","抵抗；抵制；抵抗力","Rebel gunmen have put up strong resistance.","CET4luan_2"
"resistant","rɪ'zɪstənt","抵抗的；反抗的","an infection that’s resistant to antibiotics","CET4luan_2"
"resolute","'rɛzəlut","坚定的","resolute opposition","CET6_1"
"resolution",",rɛzə'luʃən","坚决，坚定；决定","Then, with sudden resolution, she stood up.","CET4luan_2"
"resolve","rɪ'zɑlv","解决；决心","Barnet was desperate for money to resolve his financial problems.","CET4luan_2"
"resort","rɪ'zɔrt","求助，凭借；诉诸于","His punishing work schedule had made him resort to drugs.","CET4luan_2,CET6_1"
"respective","rɪ'spɛktɪv","各自的，各个的","We all went back to our respective homes to wait for news.","CET4luan_2,CET6_1"
"respectively","rɪ'spɛktɪvli","各自地，分别地","The cups and saucers cost £5 and £3 respectively.","CET4luan_2"
"respond","rɪ'spɑnd","作答；响应","He responded that he didn’t want to see anyone.","CET4luan_2"
"response","rɪ'spɑns","响应；作答，回答","His immediate response was one of disbelief.","CET4luan_2"
"responsibility","rɪˌspɑːnsəˈbɪləti","责任","Kelly’s promotion means more money and more responsibility.","CET6_1"
"responsive","rɪ'spɑnsɪv","灵敏的，反应的","a car with highly responsive steering","CET6_1"
"restless","'rɛstləs","不安定的，焦虑的","After a few weeks in Marseille, I grew restless and decided to move on.","CET4luan_2"
"restore","rɪ'stɔr","恢复；修补；归还","She was hoping that the Mediterranean climate would restore her to full health.","CET4luan_2"
"restrain","rɪ'stren","抑制，遏制；限制","I had to restrain her from running out into the street.","CET4luan_2"
"restraint","rɪ'strent","抑制；遏制；克制","The police were praised for their restraint in handling the demonstrators.","CET4luan_2"
"restrict","rɪ'strɪkt","限制，限定；约束","The new law restricts the sale of hand guns.","CET4luan_2,CET6_1"
"restructure","ri'strʌktʃɚ","调整，重建","proposals to radically restructure Britain’s electronics industry","CET6_1"
"resume","rɪˈzjuːm; ˈrɛzjʊmeɪ","重新开始；恢复","Peace talks will resume tomorrow.","CET4luan_2,CET6_1"
"retailer","'ri:teilə","零售商","Furniture and carpet retailers are among those reporting the sharpest annual decline in sales.","CET6_1"
"retain","rɪ'ten","保持，保留，保有","You have the right to retain possession of the goods.","CET4luan_2"
"retire","rɪ'taɪɚ","退休；退职；就寝","At the age when most people retire, he is ready to face a new career.","CET4luan_2"
"retreat","rɪ'trit","（被迫）退却；后退","The rebels retreated to the mountains.","CET4luan_2"
"reunion","ˌri:'ju:nɪən","团聚","an annual reunion","CET6_1"
"reveal","rɪ'vil","揭示，揭露；展现","He may be prosecuted for revealing secrets about the security agency.","CET4luan_2,CET6_1"
"revenue","'rɛvənu","收入","advertising revenue","CET6_1"
"reverse","rɪ'vɝs","颠倒；翻转","to reverse a procedure/process/trend","CET4luan_2,CET6_1"
"review","rɪ'vju","再检查","The government will review the situation later in the year.","CET4luan_2"
"revise","rɪ'vaɪz","修订，校订；修改","The college has revised its plans because of local objections.","CET4luan_2"
"revive","rɪ'vaɪv","复苏","Local people have decided to revive this centuries-old tradition.","CET6_1"
"revolt","rɪ'volt","反抗；造反","The prime minister is now facing a revolt by members of his own party.","CET4luan_2"
"revolution","'rɛvə'lʊʃən","革命；旋转，绕转","the French Revolution of 1789","CET4luan_2"
"revolutionary","'rɛvə'lʊʃə'nɛri","革命的","The new cancer drug is a revolutionary breakthrough.","CET4luan_2"
"revolutionize","'rɛvə'lʊʃə'naɪz","革命化","New technology is going to revolutionize everything we do.","CET6_1"
"reward","rɪ'wɔrd","报答；报酬","The school has a system of rewards and punishments to encourage good behaviour.","CET4luan_2"
"rewarding","rɪ'wɔrdɪŋ","有回报的","Teaching can be a very rewarding career.","CET6_1"
"rhetorical","rɪ'tɔrɪkl","修辞的","a speech full of rhetorical phrases","CET6_1"
"rhythm","'rɪðəm","韵律，格律；节奏","Drums are basic to African rhythm.","CET4luan_2,CET6_1"
"rib","rɪb","肋，肋骨","She was taken to hospital with a broken arm and ribs.","CET4luan_2"
"ribbon","'rɪbən","缎带，丝带；带","little girls with ribbons in their hair","CET4luan_2"
"rid","rɪd","使摆脱，使去掉","a promise to rid the country of nuclear weapons","CET4luan_2"
"ridge","rɪdʒ","岭，山脉；脊；垄","We made our way carefully along the ridge.","CET4luan_2"
"ridiculous","rɪ'dɪkjələs","荒谬的，可笑的","That’s a ridiculous idea!","CET4luan_2,CET6_1"
"rifle","'raɪfl","步枪，来复枪","They shot him at point blank range with an automatic rifle.","CET4luan_2"
"rigid","'rɪdʒɪd","刚硬的；僵硬的","rigid plastic","CET4luan_2,CET6_1"
"rigor","'rɪgɚ","严格","We are not so much testing as proposal-thinning, and we can add rigor such as traceability and other documentation as the leading architectural candidates emerge.","CET6_1"
"rigorous","'rɪɡərəs","严格的","a rigorous analysis of defence needs","CET6_1"
"ripe","raɪp","熟的；时机成熟的","Those tomatoes aren’t ripe yet.","CET4luan_2"
"risk","rɪsk","风险，危险；冒险","Skiers always face the risk of serious injury.","CET4luan_2"
"ritual","'rɪtʃuəl","仪式","ancient pagan rituals","CET6_1"
"rival","'raɪvl","竞争者","This gives the company a competitive advantage over its rivals.","CET4luan_2,CET6_1"
"roar","rɔr","吼叫；呼喊","We heard a lion roar.","CET4luan_2"
"roast","rost","烤，炙；烘","Are you going to roast the chicken?","CET4luan_2"
"robbery","'rɑbəri","抢劫","Police are investigating a series of bank robberies in South Wales.","CET6_1"
"robot","'robɑt","机器人；自动机","cars built by robots","CET4luan_2"
"robust","ro'bʌst","强健的","a robust man of six feet four","CET6_1"
"rocket","'rɑkɪt","火箭，火箭发动机","The rocket was launched from a space research base.","CET4luan_2"
"rod","rɑd","杆，竿，棒","a measuring rod","CET4luan_2"
"roll","rol","滚动；转动","The ball rolled into the street.","CET4luan_2"
"roller","'rolɚ","滚筒，滚轴；滚柱","a paint roller","CET4luan_2"
"Roman","'romən","古罗马人","When they conquered Britain, the Romans brought this custom with them.","CET4luan_2"
"romantic","ro'mæntɪk","浪漫的","‘Tom always sends me red roses on my birthday.’ ‘How romantic!’","CET4luan_2,CET6_1"
"rotary","'rotəri","旋转的，转动的","the rotary movement of the helicopter blades","CET4luan_2"
"rotate","'rotet","旋转","The Earth rotates on its axis once every 24 hours.","CET4luan_2"
"rotation","ro'teʃən","旋转，转动","The blades spin at 100 rotations per minute.","CET4luan_2"
"rotten","'rɑtn","腐烂的，发臭的","the smell of rotten eggs","CET4luan_2"
"rough","rʌf","表面不平的；粗略的","Her hands were rough from hard work.","CET4luan_2"
"rouse","raʊz","唤醒，唤起；惊起","His banging roused the neighbours.","CET4luan_2"
"route","raʊt","路，路线","the most direct route home","CET4luan_2"
"routine","rʊ'tin","例行公事","John’s departure had upset their daily routine .","CET4luan_2"
"row","ro","（一）排，（一）行","a row of houses","CET4luan_2,CET6_1"
"royal","'rɔɪəl","王的；皇家的","the royal palace","CET4luan_2"
"rug","rʌɡ","小地毯；毛毯","A Persian rug covered the hardwood floors.","CET4luan_2"
"ruin","'ruɪn","毁坏","This illness has ruined my life.","CET6_1"
"ruling","'rulɪŋ","裁定","Goodwin tried to have the court ruling overturned.","CET6_1"
"rural","'rʊrəl","农村的，田园的","a rural setting","CET4luan_2"
"rush","rʌʃ","冲，奔；催促","A small girl rushed past her.","CET4luan_2"
"rust","rʌst","锈","There were large patches of rust on the car.","CET4luan_2"
"rustle","'rʌsl","发出沙沙声","She moved nearer, her long silk skirt rustling around her.","CET6_1"
"sack","sæk","袋，麻袋；开除","a sack of potatoes","CET4luan_2"
"sacrifice","'sækrɪfaɪs","牺牲；献祭","The minister stressed the need for economic sacrifice.","CET4luan_2"
"saddle","'sædl","鞍子，马鞍","It looks like a saddle.","CET4luan_2"
"sail","sel","帆；船","a yacht with white sails","CET4luan_2"
"sake","[sek]","缘故，理由","He moved to the seaside for the sake of his health.","CET4luan_2"
"sample","'sæmpl","样品；标本","They took a blood sample to test for hepatitis.","CET4luan_2,CET6_1"
"sanitation",",sænɪ'teʃən","卫生环境，卫生设备","Overcrowding and poor sanitation are common problems in prisons.","CET6_1"
"satellite","'sætəlaɪt","人造卫星；卫星","the launch of a communications and weather satellite","CET4luan_2"
"satisfactory",",sætɪs'fæktəri","令人满意的，良好的","His progress this term has been satisfactory.","CET4luan_2"
"saucer","'sɔsɚ","茶托，浅碟","a china cup and saucer","CET4luan_2"
"sausage","'sɔsɪdʒ","香肠，腊肠","pork sausages","CET4luan_2"
"saw","sɔ","锯子","The only tools in the house are a hammer and a saw.","CET4luan_2"
"say","se","比如说[用于举例]","If we put out, say, twenty chairs, would that be enough?","CET4luan_2"
"scaffolding","'skæfəldɪŋ","脚手架","Workers have erected scaffolding around the base of the tower below the roadway.","CET6_1"
"scale","skel","天平，磅秤，秤","a set of kitchen scales","CET4luan_2"
"scan","skæn","细看；浏览；扫描","He scanned the horizon, but there was no sign of the ship.","CET4luan_2"
"scandal","'skændl","丑闻","It caused quite a scandal when he left his wife.","CET6_1"
"scarcely","'skɛrsli","几乎不；仅仅","The city had scarcely changed in 20 years.","CET4luan_2"
"scarcity","'skɛrsəti","缺乏","...an ever increasing scarcity of water.","CET6_1"
"scare","skɛr","恐吓，惊恐","You really gave us a scare !","CET6_1"
"scatter","'skætɚ","撒；散播；使消散","Scatter the grass seed over the lawn.","CET4luan_2"
"scenery","'sinəri","风景；舞台布景","The best part of the trip was the fantastic scenery.","CET4luan_2"
"scent","sɛnt","味道","a yellow rose with a lovely scent","CET6_1"
"schedule","'skɛdʒul; (canadian) ˈʃɛdʒʊl; ˈʃɛdjʊl","计划表；时间表","How can he fit everything into his busy schedule ?","CET4luan_2,CET6_1"
"scheme","skim","计划，规划；诡计","The money will be used for teacher training schemes.","CET4luan_2"
"scholar","'skɑlɚ","学者（尤指文学方面）","a Shakespearean scholar","CET4luan_2"
"scientific",",saɪən'tɪfɪk","科学（上）的","We believe in investing in scientific research.","CET4luan_2"
"scissors","'sɪzɚz","剪刀，剪子","a pair of scissors","CET4luan_2"
"score","skɔ","得分，比数；成绩","At half-time the score was one all.","CET4luan_2"
"scout","skaʊt","侦察员，侦察机","He sent three scouts ahead to take a look at the bridge.","CET4luan_2"
"scrape","skrep","刮；擦","Scrape the carrots and slice them thinly.","CET4luan_2"
"scratch","skrætʃ","搔；抓","John yawned and scratched his leg.","CET4luan_2"
"screw","skru","螺旋，螺丝","Fix the frame in position and tighten the screws.","CET4luan_2"
"script","skrɪpt","脚本，剧本","They write all their own scripts.","CET6_1"
"sculpture","'skʌlptʃɚ","雕塑","...stone sculptures of figures and animals.","CET6_1"
"seal","sil","印记；封蜡","The document carried the seal of the governor’s office.","CET4luan_2"
"seasick","'sisɪk","晕船的","It was quite rough at times, and she was seasick.","CET6_1"
"secondary","'sɛkəndɛri","第二的；次要的","the novel’s secondary characters","CET4luan_2"
"secretary","'sɛkrətɛrɪ","秘书；书记；大臣","My secretary will fax you all the details.","CET4luan_2"
"section","'sɛkʃən","切片；一段；部分，部门","to examine a section from the kidney","CET4luan_2"
"sector","'sɛktɚ","部门","...the nation's manufacturing sector.","CET6_1"
"secure","sə'kjʊr","安心的；安全的","At last they were able to feel secure about the future.","CET4luan_2"
"security","sə'kjʊrəti","安全工作；安全；安全感","terrorist activity that is a threat to national security","CET4luan_2"
"seed","sid","种（子），籽；起因，萌芽","I sow the seed in pots of soil-based compost.","CET4luan_2"
"seek","sik","寻找，探索；试图","new graduates seeking employment","CET4luan_2"
"segregation","'sɛgrɪ'geʃən","隔离","The Supreme Court unanimously ruled that racial segregation in schools was unconstitutional.","CET6_1"
"seize","siz","抓住；夺取；逮捕","Suddenly he seized my hand.","CET4luan_2"
"semiconductor",",sɛmɪkən'dʌktɚ","半导体","In semiconductor receivers transistors take the place of vacuum tubes.","CET4luan_2"
"senate","'sɛnət","参议院，上院","The Senate approved the bill.","CET4luan_2"
"senior","'sinɪɚ","地位较高的","the senior Democrat on the House committee","CET4luan_2"
"sensible","'sɛnsəbl","明智的；感觉得到的","She seems very sensible.","CET4luan_2,CET6_1"
"sensitive","'sɛnsətɪv","敏感的；灵敏的","a very sensitive child","CET4luan_2"
"separate","(for v.) sɛpəˌret; (for adj.) sɛprɪt","分离的；个别的","The gym and the sauna are in separate buildings.","CET4luan_2"
"sequence","'sikwəns","次序","Be careful to perform the actions in the correct sequence.","CET4luan_2"
"series","'sɪriz","连续，系列；丛书","the series of events that led to the outbreak of war","CET4luan_2"
"serve",,"为…服务；招待","There was only one girl serving customers.","CET4luan_2"
"server","'sɝvɚ","服务器","Well, only the server can do that.","CET6_1"
"session","'sɛʃən","一段时间；会议","a training session for teachers about computers","CET4luan_2,CET6_1"
"setting","'sɛtɪŋ","环境；安装，调整","I’ve worked with children in various settings, mainly in secondary school.","CET4luan_2"
"settle","'sɛtl","安排；安放；调停","Albert settled himself on the sofa.","CET4luan_2"
"settlement","'sɛtlmənt","解决；殖民，殖民地","Union leaders and company bosses will meet tomorrow in an attempt to reach a settlement.","CET4luan_2"
"severe","sɪ'vɪr","严厉的","Drug smugglers can expect severe penalties.","CET4luan_2"
"severity","sə'vɛrəti","严重性","This does not prevent disease altogether, but can reduce its severity.","CET6_1"
"sew","so","缝制，缝纫","I learned to sew at school.","CET4luan_2,CET6_1"
"sexism","'sɛk'sɪzəm","性别歧视","sexism in the workplace","CET6_1"
"shade","ʃed","荫；遮光物","She was sitting in the shade of a large oak tree.","CET4luan_2,CET6_1"
"shady","'ʃedi","阴凉的","a shady street","CET6_1"
"shareholder","'ʃɛrholdɚ","股东","Shareholders have been told to expect an even lower result next year.","CET6_1"
"shave","ʃev","剃，刮","He hadn’t shaved for days.","CET4luan_2"
"shear","ʃɪr","剪；剥夺","Competitors have six minutes to shear four sheep.","CET4luan_2"
"shed",,"流出；散发；脱落","She shed no tears when she heard he was dead.","CET4luan_2,CET6_1"
"sheer","ʃɪr","纯粹的","I’ll never forget the look of sheer joy on her face.","CET6_1"
"sheet","ʃit","被单；纸张；薄板","I’ll go and find you some clean sheets and blankets.","CET4luan_2"
"shelf","ʃɛlf","搁板，架子","shelves of books","CET4luan_2"
"shelter","'ʃɛltɚ","隐蔽处；掩蔽，庇护","The men took shelter in a bombed-out farmhouse.","CET4luan_2"
"shepherd","'ʃɛpɚd","引导，带领",,"CET6_1"
"shield","ʃild","盾；防护物","He clanged his sword three times on his shield.","CET4luan_2"
"shift","ʃɪft","替换，转移","They need to shift from farming to industry, and they need to do so desperately.","CET4luan_2,CET6_1"
"shiver","'ʃɪvɚ","颤抖，哆嗦","Jake stood shivering in the cold air.","CET4luan_2"
"shoot","ʃut","发射；射中","This is just a toy gun─it doesn't shoot real bullets.","CET4luan_2"
"shore","ʃɔr","滨，岸","We could see a boat about a mile from shore.","CET4luan_2"
"shortage","'ʃɔrtɪdʒ","不足，缺少，不足额","There is no heating available due to fuel shortages.","CET4luan_2"
"shortly","'ʃɔrtli","立刻；简短地","Ms Jones will be back shortly.","CET4luan_2"
"shot","ʃɑt","发射；弹丸；射门","He shot all his bullets, but no one hit.","CET4luan_2,CET6_1"
"shower","'ʃaʊɚ","阵雨；（一）阵；淋浴","More heavy showers are forecast for tonight.","CET4luan_2"
"shrank","ʃræŋk","收缩(shrink过去式)","But it contained one very interesting piece of data: in 2008, for the first time in sixteen years, the finance and insurance industry shrank.","CET6_1"
"shrewd","ʃrud","精明的","Malcolm is a shrewd businessman.","CET6_1"
"shriek","ʃrik","尖声喊叫","They were dragged from their homes, shrieking and weeping.","CET4luan_2"
"shrink","ʃrɪŋk","缩减，缩小","I’m worried about washing that shirt in case it shrinks.","CET6_1"
"shrug","ʃrʌɡ","耸肩","I just shrugged my shoulders and ignored him.","CET6_1"
"shuttle","'ʃʌtl","航天飞机","They stand guard with weapons as the human survivors of the battle are marched onto the shuttle.","CET6_1"
"sideways","'saɪdwez","斜着，斜向一边地","A strong gust of wind blew the car sideways into the ditch.","CET4luan_2"
"sightseeing","'saɪtsiɪŋ","观光，游览","She swam and sunbathed, went sightseeing and relaxed.","CET4luan_2"
"sign","saɪn","符号；招牌","the dollar sign","CET4luan_2"
"signal","'sɪgnl","信号","At a prearranged signal the lights went out.","CET4luan_2,CET6_1"
"signature","'sɪgnətʃɚ","署名，签字，签名","Her signature is totally illegible (= cannot be read ) .","CET4luan_2"
"significance","sɪɡ'nɪfɪkəns","意义，意味；重要性","a decision of major political significance","CET4luan_2"
"significant","sɪɡ'nɪfɪkənt","有意义的；重要的","His most significant political achievement was the abolition of the death penalty.","CET4luan_2,CET6_1"
"signify","'sɪɡnɪfaɪ","表明，象征","Some tribes use special facial markings to signify status.","CET6_1"
"silence","'saɪləns","沉默","There was a brief silence before anyone answered.","CET4luan_2"
"silent","'saɪlənt","寂静无声的；沉默的","The large house was silent and lonely.","CET4luan_2"
"silk","sɪlk","蚕丝，丝，丝织品","a beautiful dress in raw silk","CET4luan_2"
"silly","'sɪli","傻的，愚蠢的","Stop asking silly questions.","CET4luan_2"
"silver",,"银；银币；银器","a silver necklace","CET4luan_2"
"similar","'sɪməlɚ","相似的，类似的","We have similar tastes in music.","CET4luan_2"
"similarly","'sɪməlɚli","类似地，相似地","The first letter she wrote me was less than a page long, and her second letter was similarly brief.","CET4luan_2"
"simplicity",,"简单，简易；朴素","Mona wrote with a beautiful simplicity of style.","CET4luan_2"
"simplify","'sɪmplɪfaɪ","简化，使单纯","an attempt to simplify the tax system","CET4luan_2"
"simply","'sɪmpli","简单地；朴素地","Try to express yourself more simply.","CET4luan_2"
